iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
USA,3.733201679523343,3.0568205196090625,6.972186008629277,6.305033632077093,5.958911430270681,5.551846957095344,3.897776746150381,3.0645033828475405,9.785622933746566,1.0
URY,3.1702401161126565,1.640436209111569,1.0,6.7185673274996045,1.8148603458074035,1.8468847988246027,5.413577407490279,1.0,7.681573804158627,1.0
VEN,3.434298295218642,2.352621814173985,7.813106489633202,4.4132739646674715,5.444571555565885,5.768988328245445,4.633034767657004,2.4740579884727887,8.924341662404926,8.08971760263299
VNM,8.94532425700166,9.60966527232791,9.568802494722174,6.543712743258956,5.160151751070964,7.104609058961773,3.366223397914745,2.535688310337312,8.935435207373025,2.242287907276833
TGO,2.3186673167616805,1.4696113737748628,1.0,6.673409537314576,4.158365241692993,7.18046039020487,4.2843753959591675,1.971978143937911,8.641053480480945,2.985858946919416
ESH,3.24398650829331,2.543133575697171,7.332489646865283,2.295845774580857,3.025664362554884,4.879388617683593,1.0,8.086385447570304,6.974021605410358,1.0
ZMB,2.6707063078734863,1.0,1.0,5.610255566254449,3.729501998264541,4.010230513363998,7.027395035051785,1.9588541380477502,9.177693367280709,3.038749865222871
SHN,1.0,1.0,1.0,1.0,1.0,,1.0,3.182005610333137,1.0,1.0
IDN,4.3240226246525415,2.7337799657050095,3.0034527719386506,7.020204946586366,5.4560580698123635,3.4857851239380646,3.851322447727446,2.3657613879775155,9.450391204946738,4.99343209462544
SEN,3.7030489303620127,2.298183937615755,1.0,5.998324190786491,3.4525051396225854,7.771678451851673,4.637138163746214,3.842377438653877,8.99926050670419,3.003422752054706
xJL,1.0,1.0,1.0,1.448574583707266,6.977102247344818,1.0,1.1792889037311949,1.0,7.074989204034733,1.0
xAB,7.158020162932437,1.0,1.0,6.023727910572488,6.534488095366112,7.2211266031192665,6.669130247197845,1.0,7.2211266031192665,7.221099261847947
xUK,1.0,1.0,1.0,1.7429118301160957,2.320899369467199,1.0,1.7742078813734088,1.0,4.443023299398095,1.0
ZAF,2.4420911406199397,2.0251060076740655,3.9706617571993985,3.8124725866872224,6.000834918314256,3.519516830100162,6.104036093617626,3.04538935501768,9.145966695112538,2.028486336864936
MNE,2.676564533807112,1.3274650061303672,1.0,1.588289935788889,5.40735119398616,1.0,3.222836583385631,1.0,7.537276862839889,1.0
COL,3.7723795696479483,2.32850905470548,4.1305352258445325,4.222059718698393,5.531112632329453,4.221711173574061,3.4423639903990733,2.370398733731933,9.3015475065693,6.205392803362131
BRA,3.761937647042092,2.330837241994864,1.0,6.492921104742133,5.614907149791329,5.95297297401665,5.13359077518866,2.57089083838361,9.46038596201161,3.9044559673128534
NZL,2.412530967805789,1.7993744735419708,8.416279633984253,3.405102759158866,3.6087806713542454,1.0,2.7037038809044494,1.7344815303608005,7.446756953866019,1.0
xAP,3.1936525917530334,1.0,1.0,2.3187325770135305,3.8173545539527756,1.0,3.460026167273412,1.683599619843489,7.935261914428237,7.415084268613541
AND,1.0,1.0,1.0,2.2382699535738304,4.753250485266487,1.0,1.0,1.0,6.428857391264442,1.0
GGY,1.0,5.614802498454054,6.3642258317388976,2.0139370679259097,1.0,,1.0,1.0,4.754197040536306,1.0
SLE,2.964072687514447,2.105363893898529,1.0,3.0901495829328653,2.8593497651226873,7.256187012665495,9.307157957236072,2.22230203866519,8.770147137269808,2.9662756882906174
SVK,3.889745011310768,1.0,1.0,3.213202790628879,5.281067652435854,1.0,2.094874807815955,1.0,8.37704969317071,1.0
NPL,3.6692785248279685,1.0,1.0,5.763550977909746,2.270890023185756,7.064840366652316,2.6907401500145793,1.9645176294272695,9.216780584652138,2.334598427944941
GRL,1.0,5.586701365029825,1.0,1.5917594515478088,4.527311757325479,1.0,1.0,1.0,1.0,1.0
BVT,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0
BWA,3.3572430655006085,1.0,1.0,2.878808029344708,3.733547101032788,7.942956402502287,4.69303953243088,2.6933382669205015,8.350640636712265,2.4402983504062137
